Datetime,Temp,Umi,Vel_vento,Dir_vento,Precipitacao,Ori_vento
2000-07-10 08:00:00,13.5,99,0.4,53,0.0,NE
2000-08-22 06:00:00,13.5,73,0.5,172,0.0,S
2000-07-18 00:00:00,13.6,98,0.3,38,0.0,NE
2000-08-22 05:00:00,13.6,72,0.7,317,0.0,NO
2000-07-20 07:00:00,13.6,98,0.6,89,0.0,L
2000-07-20 06:00:00,13.6,98,0.5,232,0.0,SO
2000-06-15 02:00:00,13.6,100,0.3,28,0.0,NE
2000-07-17 23:00:00,13.6,98,0.2,287,0.0,O
2000-08-30 03:00:00,13.7,97,1.2,267,0.0,O
2000-09-04 03:00:00,13.7,70,0.6,75,0.0,L
2000-07-08 19:00:00,13.7,92,0.2,9,0.0,N
2000-07-08 22:00:00,13.7,96,0.2,93,0.0,L
2000-08-30 01:00:00,13.7,97,0.4,56,0.0,NE
2000-07-10 20:00:00,13.7,94,0.2,330,0.0,NO
2000-09-04 05:00:00,13.7,91,0.4,97,0.0,L
2000-08-22 04:00:00,13.7,70,0.8,194,0.0,S
2000-08-30 02:00:00,13.7,97,0.5,97,0.0,L
2000-07-14 01:00:00,13.7,97,0.7,70,0.0,L
2000-07-31 01:00:00,13.7,98,0.7,67,0.0,NE
2000-07-24 05:00:00,13.7,97,0.7,76,0.0,L
2000-09-05 22:00:00,13.7,94,0.8,58,0.1,NE
2000-07-17 11:00:00,13.7,96,0.9,333,0.2,NO
2000-09-05 21:00:00,13.7,95,1.0,85,0.1,L
2000-07-20 01:00:00,13.7,97,0.5,52,0.0,NE
2000-07-20 02:00:00,13.7,97,0.5,40,0.0,NE
2000-07-12 02:00:00,13.7,99,0.6,44,0.0,NE
2000-07-24 03:00:00,13.7,97,0.5,62,0.0,NE
2000-07-11 09:00:00,13.7,99,1.1,239,0.0,SO
2000-07-12 01:00:00,13.7,98,0.7,76,0.0,L
2000-09-07 06:00:00,13.7,97,0.2,16,0.0,N
2000-07-24 04:00:00,13.7,97,1.0,72,0.0,L
2000-07-09 06:00:00,13.8,99,0.4,46,0.0,NE
2000-07-11 21:00:00,14.0,95,0.6,66,0.0,NE
2000-05-15 22:00:00,14.0,94,0.9,141,0.0,SE
2000-08-08 08:00:00,14.0,97,0.5,358,0.0,N
2000-07-18 05:00:00,14.0,97,1.0,350,0.1,N
2000-09-04 04:00:00,14.0,87,0.7,117,0.0,SE
2000-08-11 00:00:00,14.0,96,0.4,24,0.0,NE
2000-07-14 00:00:00,14.0,97,0.3,8,0.0,N
2000-09-05 07:00:00,14.0,88,0.4,339,0.1,N
2000-07-20 00:00:00,14.0,96,0.9,53,0.0,NE
2000-08-22 03:00:00,14.0,68,0.3,228,0.0,SO
2000-08-30 04:00:00,14.0,97,0.3,18,0.0,N
2000-09-06 08:00:00,14.0,74,0.4,48,0.0,NE
2000-07-06 11:00:00,14.0,57,1.4,279,0.0,O
2000-06-16 06:00:00,14.0,100,0.6,96,0.2,L
2000-07-09 05:00:00,14.0,99,0.3,5,0.0,N
2000-08-29 02:00:00,14.0,96,0.3,92,0.0,L
2000-08-15 03:00:00,14.0,96,0.7,87,0.1,L
2000-06-29 23:00:00,14.0,71,3.0,277,0.0,O
2000-07-22 07:00:00,14.0,97,0.6,45,0.0,NE
2000-06-30 19:00:00,14.0,69,1.6,203,0.0,SO
2000-11-08 04:00:00,14.0,97,0.5,80,0.0,L
2000-06-30 11:00:00,14.0,60,2.3,251,0.0,O
2000-07-13 04:00:00,14.1,90,0.6,25,0.0,NE
2000-08-22 00:00:00,14.1,66,1.3,339,0.0,N
2000-07-08 04:00:00,14.1,97,0.3,20,0.0,N
2000-05-18 02:00:00,14.1,94,0.3,80,0.0,L
2000-05-21 00:00:00,14.1,94,0.5,223,0.0,SO
2000-11-09 05:00:00,14.1,98,0.6,111,0.0,L
2000-05-18 04:00:00,14.1,94,0.2,27,0.0,NE
2000-05-16 08:00:00,14.1,94,0.7,101,0.0,L
2000-09-07 07:00:00,14.1,97,0.7,86,0.0,L
