Datetime,Temp_max,Temp_min,Temp_med,Temp_dp,Umi_max,Umi_min,Umi_med,Umi_dp,Vel_vento_max,Vel_vento_min,Vel_vento_med,Vel_vento_dp,Dir_vento_med,Dir_vento_dp,Precipitacao_tot,Precipitacao_dp,Ori_vento_moda
2022-01-31,34.2,29.4,31.4,2.2,70.0,45.0,60.8,11.9,2.5,1.2,1.9,0.7,226.0,49.3,0.0,0.0,O
2022-02-28,,,,,,,,,,,,,,,0.0,,
2022-03-31,34.9,19.9,23.6,3.9,100.0,48.0,84.1,12.8,4.3,0.2,1.5,1.2,157.1,92.3,40.2,1.6,S
2022-04-30,35.5,15.1,22.1,3.1,91.0,32.0,79.8,10.5,4.3,0.1,1.3,0.9,155.8,88.8,212.0,1.0,L
2022-05-31,31.8,8.0,19.1,4.2,93.0,33.0,78.4,14.5,6.0,0.1,1.1,0.9,166.8,97.9,99.8,1.0,L
2022-06-30,31.5,6.6,17.4,3.5,93.0,36.0,84.0,10.9,4.4,0.1,1.1,0.8,163.8,95.2,162.4,0.9,L
2022-07-31,31.4,8.6,18.6,4.0,94.0,34.0,82.0,13.6,5.0,0.1,1.0,0.7,153.9,96.7,41.0,0.3,L
2022-08-31,30.4,9.6,17.9,3.1,93.0,40.0,82.5,11.5,5.9,0.1,1.4,1.0,161.7,93.1,140.6,0.8,L
2022-09-30,36.5,8.7,18.1,3.3,94.0,25.0,81.4,12.4,4.6,0.1,1.5,1.0,150.1,85.7,218.4,1.2,L
2022-10-31,35.7,15.0,21.3,3.1,94.0,38.0,83.1,10.6,4.8,0.1,1.5,1.0,157.0,86.0,159.2,1.0,L
2022-11-30,32.4,12.1,21.3,3.4,94.0,40.0,78.6,12.7,5.1,0.1,1.7,1.1,142.5,79.5,331.8,2.4,L
2022-12-31,34.5,15.4,23.7,3.0,94.0,46.0,79.8,11.4,5.5,0.1,1.5,1.1,138.2,87.5,178.8,1.4,L
