Datetime,Temp_max,Temp_min,Temp_med,Temp_dp,Temp_mediana,Umi_max,Umi_min,Umi_med,Umi_dp,Umi_mediana,Vel_vento_max,Vel_vento_min,Vel_vento_med,Vel_vento_dp,Vel_vento_mediana,Dir_vento_med,Dir_vento_dp,Dir_vento_mediana,Chuva_tot,Chuva_dp
2019-01-06,39.9,22.2,27.11,3.59,25.95,96.0,32.0,80.86,15.09,84.0,4.1,0.1,1.53,1.06,1.2,158.97,104.36,113.0,86.4,2.71
2019-01-13,37.4,21.5,27.43,4.08,27.1,97.0,35.0,79.97,15.61,83.0,4.6,0.1,1.46,1.07,1.1,160.3,101.44,118.0,0.6,0.03
2019-01-20,37.8,22.0,27.23,3.98,26.4,96.0,37.0,79.53,15.48,82.5,6.4,0.1,1.53,1.13,1.3,180.58,101.91,187.5,49.0,2.17
2019-01-27,32.7,20.0,26.84,3.13,26.75,97.0,56.0,82.54,12.24,84.0,4.2,0.2,1.44,1.09,1.0,152.39,97.24,113.0,6.8,0.32
2019-02-03,36.6,21.7,27.74,4.22,27.1,97.0,34.0,80.23,15.28,83.5,4.4,0.2,1.43,1.11,1.0,170.51,100.53,122.0,7.6,0.32
2019-02-10,31.1,18.5,23.44,3.26,22.55,98.0,58.0,85.9,12.12,92.0,4.6,0.2,1.52,1.12,1.15,148.62,88.55,114.0,143.2,3.25
2019-02-17,37.5,19.4,24.16,3.45,23.15,97.0,46.0,86.7,12.05,92.0,5.0,0.1,1.59,1.12,1.3,164.24,95.13,140.5,301.4,4.15
2019-02-24,38.2,21.6,26.33,4.16,24.9,97.0,34.0,82.73,16.76,90.5,3.2,0.1,1.08,0.76,0.8,178.29,107.22,154.5,73.6,2.65
2019-03-03,34.6,20.6,24.45,2.73,23.55,97.0,45.0,88.26,11.64,94.0,4.2,0.2,1.41,0.94,1.25,178.01,87.63,173.5,158.4,3.42
2019-03-10,35.9,21.5,26.35,3.52,25.5,97.0,38.0,83.41,14.39,89.0,4.2,0.1,1.4,1.06,1.1,173.74,104.74,167.5,110.4,2.99
2019-03-17,33.8,22.2,25.22,2.39,24.9,97.0,55.0,87.65,10.66,93.0,4.2,0.2,1.38,0.86,1.15,176.43,97.45,164.0,140.8,2.31
2019-03-24,33.1,18.5,23.86,3.23,23.3,98.0,60.0,87.62,10.47,93.0,3.7,0.1,1.35,0.94,1.1,159.1,95.64,137.0,92.4,1.31
2019-03-31,30.7,17.5,23.41,2.75,23.35,98.0,61.0,86.92,10.87,91.0,4.9,0.1,1.63,1.1,1.5,136.87,80.81,108.0,193.2,4.26
2019-04-07,35.7,17.4,24.18,3.86,23.8,98.0,45.0,85.33,14.14,92.0,3.7,0.2,1.29,0.93,0.9,158.54,94.55,139.5,22.4,0.39
2019-04-14,28.6,17.6,22.34,2.47,21.7,98.0,62.0,91.66,8.95,96.0,4.2,0.2,1.3,0.94,0.95,169.95,88.05,183.0,135.6,2.23
2019-04-21,32.8,16.0,22.88,3.88,22.35,98.0,41.0,87.07,13.46,93.0,3.3,0.1,0.92,0.66,0.7,150.22,99.88,114.5,20.2,0.79
2019-04-28,32.2,19.3,24.05,2.24,23.65,98.0,54.0,91.48,7.75,95.0,5.3,0.1,0.98,0.75,0.7,167.43,101.51,161.0,41.6,1.6
2019-05-05,30.7,16.9,22.72,3.27,22.15,98.0,66.0,91.7,8.25,96.0,3.5,0.1,0.87,0.69,0.6,141.46,100.29,102.5,14.4,0.48
2019-05-12,31.8,19.4,23.05,2.27,22.95,98.0,62.0,89.8,8.35,94.0,3.6,0.1,1.12,0.84,0.85,162.93,101.95,136.5,82.6,2.59
2019-05-19,25.0,18.8,21.57,1.48,21.45,98.0,70.0,89.85,7.42,93.0,5.2,0.2,2.07,1.2,1.9,155.5,79.2,116.5,288.2,3.46
2019-05-26,28.9,12.7,20.13,3.25,19.85,98.0,54.0,88.39,12.14,94.5,3.0,0.2,0.89,0.59,0.7,145.51,103.94,110.0,13.2,0.49
2019-06-02,26.6,13.0,20.42,2.59,20.7,99.0,60.0,93.77,7.33,97.0,4.8,0.2,1.07,0.77,0.8,169.35,99.08,162.5,178.0,3.02
2019-06-09,26.8,12.2,18.37,3.11,18.5,99.0,55.0,90.05,10.22,95.0,5.1,0.2,1.07,0.81,0.8,161.39,103.11,153.5,34.4,0.83
2019-06-16,29.6,14.8,19.77,3.44,19.15,99.0,57.0,92.17,9.53,97.0,2.3,0.1,0.7,0.43,0.6,152.44,109.79,98.0,1.0,0.03
2019-06-23,29.5,14.3,20.06,3.16,19.45,99.0,49.0,88.27,11.55,94.0,2.8,0.1,0.9,0.67,0.6,162.52,103.14,134.0,0.0,0.0
2019-06-30,31.7,12.9,20.32,4.41,19.6,99.0,37.0,87.33,16.22,95.0,3.7,0.1,0.89,0.72,0.6,167.32,101.84,147.5,13.6,0.37
2019-07-07,28.9,5.3,16.66,5.15,17.3,99.0,48.0,89.05,11.74,94.0,3.9,0.2,1.19,0.73,1.0,165.49,89.29,152.5,96.4,1.51
2019-07-14,28.8,8.6,16.2,4.96,14.85,98.0,42.0,86.64,14.35,94.0,3.0,0.1,0.82,0.56,0.7,139.08,104.37,100.0,0.6,0.03
2019-07-21,23.8,9.9,16.78,3.3,17.3,98.0,49.0,89.24,11.5,94.0,4.8,0.1,1.22,1.06,0.8,152.57,96.39,140.0,32.8,0.74
2019-07-28,30.8,13.0,19.29,3.97,18.1,98.0,37.0,87.43,14.08,94.0,3.6,0.1,1.29,0.99,0.95,168.55,96.22,180.0,10.2,0.29
2019-08-04,25.6,6.1,16.69,3.79,16.75,99.0,60.0,88.47,10.53,94.0,4.5,0.2,1.21,0.95,0.9,165.07,95.24,157.0,10.2,0.33
2019-08-11,34.5,12.3,18.89,4.65,18.35,98.0,30.0,88.48,13.23,94.0,4.0,0.1,0.99,0.72,0.75,172.62,102.68,149.5,26.2,0.6
2019-08-18,33.0,10.7,18.04,4.49,17.9,98.0,31.0,82.4,14.74,85.0,4.8,0.1,1.54,1.2,1.1,151.08,93.94,156.5,2.2,0.13
2019-08-25,21.6,13.6,16.32,1.62,16.1,98.0,58.0,92.48,7.56,95.0,4.2,0.2,1.88,0.99,1.9,191.9,59.55,196.0,122.2,1.33
2019-09-01,28.2,14.3,19.12,2.77,18.9,98.0,56.0,88.45,8.93,91.0,5.9,0.1,1.69,1.12,1.5,145.07,88.37,105.5,36.2,0.9
2019-09-08,26.7,14.7,17.3,2.3,16.6,98.0,72.0,93.77,5.47,96.0,4.0,0.2,1.6,0.92,1.5,184.07,72.45,191.5,85.8,0.79
2019-09-15,36.9,16.3,21.11,4.28,19.65,98.0,31.0,86.92,14.84,94.0,3.7,0.1,1.53,0.94,1.4,160.14,86.42,148.5,15.8,0.26
2019-09-22,28.5,17.3,20.27,2.31,19.9,97.0,70.0,91.8,6.5,95.0,5.9,0.1,1.85,1.07,1.95,176.83,80.77,179.0,96.8,1.31
2019-09-29,23.7,11.7,19.11,2.31,19.2,98.0,60.0,83.08,9.86,85.0,4.7,0.1,1.81,1.06,1.8,136.19,70.4,117.5,6.2,0.18
2019-10-06,27.7,14.9,21.17,2.71,21.0,98.0,61.0,85.98,10.52,89.5,4.8,0.2,1.83,1.25,1.75,153.18,79.77,129.5,14.2,0.38
2019-10-13,31.2,16.5,21.53,3.03,20.5,98.0,57.0,88.31,10.0,94.0,3.5,0.1,1.39,0.97,1.25,140.46,77.14,119.0,44.6,0.78
2019-10-20,30.6,16.1,22.67,2.26,22.45,98.0,59.0,85.86,10.0,88.0,4.6,0.2,2.07,1.0,2.25,158.29,64.41,152.5,165.8,3.01
2019-10-27,29.3,16.3,22.06,3.37,22.35,98.0,61.0,85.36,10.11,88.0,4.7,0.2,1.65,1.25,1.2,134.09,80.38,110.0,9.8,0.32
2019-11-03,34.7,19.4,25.29,3.37,24.9,97.0,46.0,80.79,13.05,85.0,4.9,0.2,1.88,1.15,1.9,155.29,93.81,117.5,1.8,0.08
2019-11-10,32.3,18.6,23.54,2.05,23.5,97.0,57.0,87.33,8.53,89.5,3.9,0.2,1.67,1.02,1.6,137.48,82.1,107.0,72.4,1.65
2019-11-17,26.6,15.4,22.54,2.43,22.6,97.0,55.0,82.62,10.96,83.0,5.5,0.2,2.19,1.32,2.2,110.2,70.55,93.5,43.0,1.22
2019-11-24,28.6,14.2,22.58,2.54,22.4,97.0,51.0,82.6,10.76,85.5,4.5,0.1,2.14,1.08,2.2,121.82,67.79,98.5,23.8,0.86
2019-12-01,29.3,16.0,21.38,2.8,21.5,97.0,54.0,81.92,12.91,83.5,4.3,0.2,1.62,1.09,1.4,139.04,87.53,113.0,32.2,0.64
2019-12-08,29.8,15.5,22.45,2.83,22.1,97.0,57.0,79.8,11.55,80.5,4.0,0.2,1.63,1.01,1.5,146.52,86.95,117.0,20.2,0.53
2019-12-15,34.9,17.0,23.54,2.94,22.9,97.0,45.0,87.74,9.88,89.0,4.0,0.2,1.25,0.97,0.9,154.24,96.09,122.0,21.4,0.59
2019-12-22,34.5,20.2,24.18,3.2,23.3,97.0,43.0,86.38,12.74,93.0,4.7,0.1,1.28,0.94,1.0,162.05,98.43,139.0,95.8,1.61
2019-12-29,29.4,19.2,24.89,2.38,24.5,97.0,61.0,84.08,9.71,85.5,4.5,0.1,1.85,1.21,1.8,134.63,82.59,105.5,38.6,1.63
2020-01-05,31.0,20.3,25.4,2.78,24.85,96.0,59.0,80.79,10.93,82.0,4.1,0.2,1.74,1.21,1.45,135.38,77.87,105.5,0.0,0.0
