Datetime,Temp_max,Temp_min,Temp_med,Temp_dp,Temp_mediana,Umi_max,Umi_min,Umi_med,Umi_dp,Umi_mediana,Vel_vento_max,Vel_vento_min,Vel_vento_med,Vel_vento_dp,Vel_vento_mediana,Dir_vento_med,Dir_vento_dp,Dir_vento_mediana,Chuva_tot,Chuva_dp
2021-01-03,27.1,20.1,23.19,1.53,22.9,98.0,61.0,86.88,9.47,89.0,4.0,0.3,1.57,1.03,1.5,148.49,89.95,109.0,24.6,1.28
2021-01-10,34.3,18.8,25.88,3.11,25.6,99.0,49.0,85.02,13.28,90.0,4.4,0.2,1.29,0.86,1.05,160.9,100.64,119.5,78.2,1.63
2021-01-17,32.7,21.8,26.23,2.25,25.8,99.0,56.0,85.19,10.55,87.0,4.2,0.1,1.78,1.17,1.7,126.14,84.43,104.0,41.4,2.02
2021-01-24,32.3,22.4,25.26,1.87,24.8,99.0,60.0,88.84,8.89,91.0,4.6,0.2,1.76,1.0,1.75,157.1,83.36,121.0,244.4,4.65
2021-01-31,36.8,21.0,26.8,4.06,25.7,99.0,37.0,82.22,18.32,90.0,3.3,0.2,1.01,0.69,0.75,174.82,114.35,160.5,40.4,2.43
2021-02-07,37.1,17.3,25.98,3.9,25.2,99.0,39.0,81.9,15.41,86.0,4.3,0.1,1.36,1.02,0.9,154.79,96.71,124.0,25.8,0.85
2021-02-14,32.8,17.8,23.97,3.4,23.35,99.0,48.0,85.18,14.38,90.0,3.5,0.2,1.12,0.93,0.7,150.64,102.0,111.0,41.2,1.66
2021-02-21,33.7,19.3,25.25,3.26,25.1,100.0,40.0,83.02,13.53,83.5,6.6,0.2,1.49,1.04,1.2,137.62,93.04,108.0,43.8,1.48
2021-02-28,31.9,19.3,24.22,2.36,23.7,100.0,54.0,90.2,10.67,93.0,4.0,0.2,1.24,0.94,0.8,168.68,96.6,123.5,195.2,4.9
2021-03-07,32.1,21.5,25.06,2.47,24.4,99.0,54.0,87.27,11.32,89.0,3.2,0.1,1.06,0.74,0.8,172.15,106.44,143.0,42.6,1.81
2021-03-14,30.4,18.7,24.38,3.07,24.8,100.0,61.0,85.82,10.94,85.0,4.9,0.1,1.34,1.11,0.9,136.02,93.86,107.0,7.8,0.41
2021-03-21,31.8,20.6,25.46,2.51,25.35,100.0,60.0,87.25,10.1,89.0,4.3,0.1,1.36,0.99,1.1,174.88,91.59,162.0,60.0,2.1
2021-03-28,33.5,21.4,25.86,2.73,25.5,100.0,48.0,86.43,11.83,90.0,3.9,0.1,1.22,0.93,0.9,158.58,94.2,129.5,12.4,0.48
2021-04-04,30.9,17.5,23.22,2.88,22.95,100.0,57.0,85.04,13.72,89.0,3.2,0.0,1.26,0.91,0.9,163.8,89.53,152.5,37.4,0.94
2021-04-11,33.3,15.8,23.3,3.52,23.3,100.0,35.0,82.86,13.87,83.0,4.9,0.2,1.52,1.13,1.2,138.78,94.3,98.5,26.0,0.83
2021-04-18,27.8,17.5,22.48,2.29,22.4,100.0,53.0,83.9,11.97,86.0,3.8,0.2,1.28,0.87,1.0,148.84,85.43,125.0,6.6,0.14
2021-04-25,28.8,16.0,21.02,2.58,20.8,100.0,50.0,88.97,10.83,91.0,3.6,0.2,1.18,0.81,0.9,186.99,87.28,191.0,100.6,2.02
2021-05-02,25.9,15.0,20.51,2.68,20.3,100.0,56.0,88.32,12.01,92.0,3.5,0.2,1.08,0.74,0.8,141.49,89.54,112.0,34.4,0.64
2021-05-09,27.6,15.0,19.65,3.04,18.8,100.0,64.0,92.99,9.5,99.0,5.4,0.1,1.1,0.9,0.8,170.4,97.12,148.0,66.2,1.07
2021-05-16,26.9,15.0,19.07,2.23,18.6,100.0,58.0,92.93,8.78,97.0,4.3,0.2,1.15,0.81,0.9,179.43,98.37,179.0,115.8,1.85
2021-05-23,26.8,12.3,19.52,3.23,19.6,100.0,55.0,87.89,11.63,89.5,3.4,0.1,1.07,0.78,0.85,162.88,104.3,126.5,7.2,0.25
2021-05-30,30.4,8.2,18.22,5.34,19.4,100.0,34.0,86.04,15.63,92.5,4.2,0.1,1.03,0.74,0.8,151.94,106.61,113.0,17.2,0.67
2021-06-06,27.3,13.5,19.95,2.86,19.6,100.0,59.0,91.79,9.93,96.0,3.2,0.1,0.94,0.65,0.7,167.43,103.56,143.5,1.2,0.07
2021-06-13,23.5,9.7,18.79,2.69,19.45,100.0,57.0,94.79,9.71,100.0,2.8,0.2,0.94,0.65,0.7,180.9,97.54,194.0,80.2,1.87
2021-06-20,21.5,9.4,16.12,2.66,16.4,100.0,69.0,93.65,7.73,97.0,2.5,0.2,0.81,0.54,0.6,172.61,101.2,179.0,18.4,0.86
2021-06-27,23.4,22.0,22.7,0.99,22.7,72.0,66.0,69.0,4.24,69.0,0.9,0.7,0.8,0.14,0.8,342.0,2.83,342.0,0.0,0.0
2021-07-18,21.9,15.4,19.19,1.85,19.8,100.0,59.0,75.94,13.08,75.0,2.9,0.0,1.58,0.88,1.8,137.61,72.99,136.5,0.0,0.0
2021-07-25,21.3,6.2,13.85,4.7,13.05,95.0,30.0,65.83,25.03,72.5,2.4,0.0,1.12,0.73,0.85,210.5,127.09,279.0,0.0,0.0
2021-08-01,16.4,4.5,13.18,3.66,14.25,100.0,36.0,59.43,21.9,56.5,2.1,0.5,1.43,0.61,1.6,183.14,73.48,170.5,0.0,0.0
2021-08-15,32.9,18.7,25.48,7.79,25.15,100.0,28.0,68.0,36.55,72.0,1.1,0.0,0.28,0.55,0.0,73.0,146.0,0.0,0.0,0.0
2021-08-22,31.4,19.2,24.33,2.89,24.05,98.0,36.0,71.95,14.57,73.0,2.7,0.0,1.4,0.82,1.35,182.15,117.46,187.5,0.0,0.0
2021-08-29,34.6,20.7,27.71,3.71,26.9,98.0,27.0,58.23,19.75,58.0,2.3,0.0,0.8,0.76,0.7,187.31,149.14,210.0,0.0,0.0
2021-09-05,26.1,21.4,23.39,1.29,23.0,83.0,61.0,73.07,6.49,72.0,5.1,0.0,1.86,1.84,1.7,78.73,85.39,90.0,0.0,0.0
