Datetime,Temp_max,Temp_min,Temp_med,Temp_dp,Temp_mediana,Umi_max,Umi_min,Umi_med,Umi_dp,Umi_mediana,Vel_vento_max,Vel_vento_min,Vel_vento_med,Vel_vento_dp,Vel_vento_mediana,Dir_vento_med,Dir_vento_dp,Dir_vento_mediana,Chuva_tot,Chuva_dp
2020-01-01,35.7,21.4,25.78,4.59,24.05,97.0,47.0,83.29,15.63,90.0,4.5,0.1,0.95,0.98,0.7,183.62,113.44,189.0,1.6,0.22
2020-01-02,29.5,23.5,25.23,2.02,24.3,95.0,70.0,88.42,8.11,91.5,3.7,0.2,1.62,1.15,1.1,172.12,95.38,171.5,6.2,0.55
2020-01-03,27.1,23.1,25.07,1.24,24.8,93.0,69.0,80.29,7.19,79.0,3.5,1.1,2.48,0.74,2.7,183.38,26.75,175.5,8.8,0.92
2020-01-04,26.4,21.9,23.39,1.31,22.75,97.0,78.0,90.79,6.14,92.0,3.1,0.3,1.24,0.9,0.85,193.75,77.61,185.5,12.2,0.92
2020-01-05,27.1,20.6,23.3,2.4,23.15,97.0,68.0,86.96,10.64,91.0,2.1,0.2,0.98,0.62,0.85,162.17,100.69,144.0,0.2,0.04
2020-01-06,31.8,20.7,25.6,3.93,25.15,97.0,55.0,80.96,15.57,86.5,4.2,0.0,1.39,1.2,0.95,165.54,114.45,111.0,0.0,0.0
2020-01-07,37.5,21.6,28.38,5.93,28.2,97.0,37.0,73.12,22.11,75.0,4.1,0.3,1.32,1.11,0.8,176.96,126.64,207.5,0.0,0.0
2020-01-08,30.0,23.8,26.27,1.99,25.75,96.0,72.0,87.79,8.6,91.0,3.2,0.3,1.32,0.91,1.15,181.38,102.19,144.0,10.2,1.0
2020-01-09,30.8,24.3,26.86,2.21,26.5,97.0,71.0,87.46,9.08,90.0,2.9,0.2,1.23,0.79,1.0,157.79,91.89,117.5,4.0,0.45
2020-01-10,32.0,24.6,27.9,2.67,27.6,96.0,64.0,84.08,11.23,86.0,3.9,0.3,1.35,1.14,0.95,134.21,76.22,109.0,0.2,0.04
2020-01-11,34.2,24.6,28.48,3.29,28.5,96.0,54.0,80.5,14.49,84.0,4.5,0.3,1.35,1.06,0.9,153.12,104.01,128.5,0.0,0.0
2020-01-12,27.9,24.5,26.13,1.17,26.2,95.0,79.0,86.83,5.98,86.0,3.2,0.3,1.36,0.8,1.4,158.42,71.4,153.0,2.0,0.33
2020-01-13,28.1,22.1,25.67,1.66,25.85,95.0,60.0,79.33,12.48,81.5,3.3,0.3,1.59,0.91,1.45,125.12,41.45,124.5,0.0,0.0
2020-01-14,29.9,19.2,23.99,4.18,24.05,97.0,56.0,79.33,16.86,85.5,3.6,0.2,1.57,1.42,0.6,103.25,59.96,90.0,0.0,0.0
2020-01-15,30.5,20.7,25.83,3.27,25.6,96.0,61.0,76.04,12.29,72.0,4.0,0.2,1.78,1.3,1.55,136.04,90.61,96.5,0.0,0.0
2020-01-16,35.2,22.6,27.55,4.51,25.75,96.0,43.0,77.58,18.65,86.0,4.5,0.2,1.72,1.34,1.35,155.96,90.1,152.0,14.2,2.23
2020-01-17,24.9,21.1,22.72,1.05,22.65,94.0,70.0,84.92,7.4,86.5,4.2,0.9,2.17,0.88,2.0,133.75,42.81,126.0,35.4,2.44
2020-01-18,25.2,20.7,22.62,1.88,21.9,97.0,68.0,84.29,11.86,90.5,3.1,0.3,1.5,0.93,1.45,141.62,106.31,85.5,1.2,0.11
