Data,Hora (UTC),Temp. Ins. (C),Temp. Max. (C),Temp. Min. (C),Umi. Ins. (%),Umi. Max. (%),Umi. Min. (%),Pto Orvalho Ins. (C),Pto Orvalho Max. (C),Pto Orvalho Min. (C),Pressao Ins. (hPa),Pressao Max. (hPa),Pressao Min. (hPa),Vel. Vento (m/s),Dir. Vento (m/s),Raj. Vento (m/s),Radiacao (KJ/m²),Chuva (mm),Day,Month,Year,Hour,Minute,Datetime
01/01/2022,0,,,,,,,,,,,,,,,,,,1,1,2022,0,0,2022-01-01 00:00:00
01/01/2022,100,,,,,,,,,,,,,,,,,,1,1,2022,1,0,2022-01-01 01:00:00
01/01/2022,200,,,,,,,,,,,,,,,,,,1,1,2022,2,0,2022-01-01 02:00:00
01/01/2022,300,,,,,,,,,,,,,,,,,,1,1,2022,3,0,2022-01-01 03:00:00
01/01/2022,400,,,,,,,,,,,,,,,,,,1,1,2022,4,0,2022-01-01 04:00:00
01/01/2022,500,,,,,,,,,,,,,,,,,,1,1,2022,5,0,2022-01-01 05:00:00
01/01/2022,600,,,,,,,,,,,,,,,,,,1,1,2022,6,0,2022-01-01 06:00:00
01/01/2022,700,,,,,,,,,,,,,,,,,,1,1,2022,7,0,2022-01-01 07:00:00
01/01/2022,800,,,,,,,,,,,,,,,,,,1,1,2022,8,0,2022-01-01 08:00:00
01/01/2022,900,,,,,,,,,,,,,,,,,,1,1,2022,9,0,2022-01-01 09:00:00
01/01/2022,1000,,,,,,,,,,,,,,,,,,1,1,2022,10,0,2022-01-01 10:00:00
01/01/2022,1100,,,,,,,,,,,,,,,,,,1,1,2022,11,0,2022-01-01 11:00:00
01/01/2022,1200,,,,,,,,,,,,,,,,,,1,1,2022,12,0,2022-01-01 12:00:00
01/01/2022,1300,,,,,,,,,,,,,,,,,,1,1,2022,13,0,2022-01-01 13:00:00
01/01/2022,1400,,,,,,,,,,,,,,,,,,1,1,2022,14,0,2022-01-01 14:00:00
01/01/2022,1500,,,,,,,,,,,,,,,,,,1,1,2022,15,0,2022-01-01 15:00:00
01/01/2022,1600,,,,,,,,,,,,,,,,,,1,1,2022,16,0,2022-01-01 16:00:00
01/01/2022,1700,,,,,,,,,,,,,,,,,,1,1,2022,17,0,2022-01-01 17:00:00
01/01/2022,1800,,,,,,,,,,,,,,,,,,1,1,2022,18,0,2022-01-01 18:00:00
01/01/2022,1900,,,,,,,,,,,,,,,,,,1,1,2022,19,0,2022-01-01 19:00:00
01/01/2022,2000,,,,,,,,,,,,,,,,,,1,1,2022,20,0,2022-01-01 20:00:00
01/01/2022,2100,,,,,,,,,,,,,,,,,,1,1,2022,21,0,2022-01-01 21:00:00
01/01/2022,2200,,,,,,,,,,,,,,,,,,1,1,2022,22,0,2022-01-01 22:00:00
01/01/2022,2300,,,,,,,,,,,,,,,,,,1,1,2022,23,0,2022-01-01 23:00:00
02/01/2022,0,,,,,,,,,,,,,,,,,,2,1,2022,0,0,2022-01-02 00:00:00
02/01/2022,100,,,,,,,,,,,,,,,,,,2,1,2022,1,0,2022-01-02 01:00:00
02/01/2022,200,,,,,,,,,,,,,,,,,,2,1,2022,2,0,2022-01-02 02:00:00
02/01/2022,300,,,,,,,,,,,,,,,,,,2,1,2022,3,0,2022-01-02 03:00:00
02/01/2022,400,,,,,,,,,,,,,,,,,,2,1,2022,4,0,2022-01-02 04:00:00
02/01/2022,500,,,,,,,,,,,,,,,,,,2,1,2022,5,0,2022-01-02 05:00:00
02/01/2022,600,,,,,,,,,,,,,,,,,,2,1,2022,6,0,2022-01-02 06:00:00
02/01/2022,700,,,,,,,,,,,,,,,,,,2,1,2022,7,0,2022-01-02 07:00:00
02/01/2022,800,,,,,,,,,,,,,,,,,,2,1,2022,8,0,2022-01-02 08:00:00
02/01/2022,900,,,,,,,,,,,,,,,,,,2,1,2022,9,0,2022-01-02 09:00:00
02/01/2022,1000,,,,,,,,,,,,,,,,,,2,1,2022,10,0,2022-01-02 10:00:00
02/01/2022,1100,,,,,,,,,,,,,,,,,,2,1,2022,11,0,2022-01-02 11:00:00
02/01/2022,1200,,,,,,,,,,,,,,,,,,2,1,2022,12,0,2022-01-02 12:00:00
02/01/2022,1300,,,,,,,,,,,,,,,,,,2,1,2022,13,0,2022-01-02 13:00:00
02/01/2022,1400,,,,,,,,,,,,,,,,,,2,1,2022,14,0,2022-01-02 14:00:00
02/01/2022,1500,,,,,,,,,,,,,,,,,,2,1,2022,15,0,2022-01-02 15:00:00
02/01/2022,1600,,,,,,,,,,,,,,,,,,2,1,2022,16,0,2022-01-02 16:00:00
02/01/2022,1700,,,,,,,,,,,,,,,,,,2,1,2022,17,0,2022-01-02 17:00:00
02/01/2022,1800,,,,,,,,,,,,,,,,,,2,1,2022,18,0,2022-01-02 18:00:00
02/01/2022,1900,,,,,,,,,,,,,,,,,,2,1,2022,19,0,2022-01-02 19:00:00
02/01/2022,2000,,,,,,,,,,,,,,,,,,2,1,2022,20,0,2022-01-02 20:00:00
02/01/2022,2100,,,,,,,,,,,,,,,,,,2,1,2022,21,0,2022-01-02 21:00:00
02/01/2022,2200,,,,,,,,,,,,,,,,,,2,1,2022,22,0,2022-01-02 22:00:00
02/01/2022,2300,,,,,,,,,,,,,,,,,,2,1,2022,23,0,2022-01-02 23:00:00
03/01/2022,0,,,,,,,,,,,,,,,,,,3,1,2022,0,0,2022-01-03 00:00:00
03/01/2022,100,,,,,,,,,,,,,,,,,,3,1,2022,1,0,2022-01-03 01:00:00
03/01/2022,200,,,,,,,,,,,,,,,,,,3,1,2022,2,0,2022-01-03 02:00:00
03/01/2022,300,,,,,,,,,,,,,,,,,,3,1,2022,3,0,2022-01-03 03:00:00
03/01/2022,400,,,,,,,,,,,,,,,,,,3,1,2022,4,0,2022-01-03 04:00:00
03/01/2022,500,,,,,,,,,,,,,,,,,,3,1,2022,5,0,2022-01-03 05:00:00
