Datetime,Temp_max,Temp_min,Temp_med,Temp_dp,Umi_max,Umi_min,Umi_med,Umi_dp,Vel_vento_max,Vel_vento_min,Vel_vento_med,Vel_vento_dp,Dir_vento_med,Dir_vento_dp,Precipitacao_tot,Precipitacao_dp,Ori_vento_moda
2021-01-03,27.1,20.1,23.2,1.5,98.0,61.0,86.9,9.5,4.0,0.3,1.6,1.0,148.5,90.0,24.6,1.3,L
2021-01-10,34.3,18.8,25.9,3.1,99.0,49.0,85.0,13.3,4.4,0.2,1.3,0.9,160.9,100.6,78.2,1.6,L
2021-01-17,32.7,21.8,26.2,2.3,99.0,56.0,85.2,10.5,4.2,0.1,1.8,1.2,126.1,84.4,41.4,2.0,L
2021-01-24,32.3,22.4,25.3,1.9,99.0,60.0,88.8,8.9,4.6,0.2,1.8,1.0,157.1,83.4,244.4,4.7,L
2021-01-31,36.8,21.0,26.8,4.1,99.0,37.0,82.2,18.3,3.3,0.2,1.0,0.7,174.8,114.4,40.4,2.4,NE
2021-02-07,37.1,17.3,26.0,3.9,99.0,39.0,81.9,15.4,4.3,0.1,1.4,1.0,154.8,96.7,25.8,0.8,L
2021-02-14,32.8,17.8,24.0,3.4,99.0,48.0,85.2,14.4,3.5,0.2,1.1,0.9,150.6,102.0,41.2,1.7,L
2021-02-21,33.7,19.3,25.3,3.3,100.0,40.0,83.0,13.5,6.6,0.2,1.5,1.0,137.6,93.0,43.8,1.5,L
2021-02-28,31.9,19.3,24.2,2.4,100.0,54.0,90.2,10.7,4.0,0.2,1.2,0.9,168.7,96.6,195.2,4.9,L
2021-03-07,32.1,21.5,25.1,2.5,99.0,54.0,87.3,11.3,3.2,0.1,1.1,0.7,172.1,106.4,42.6,1.8,L
2021-03-14,30.4,18.7,24.4,3.1,100.0,61.0,85.8,10.9,4.9,0.1,1.3,1.1,136.0,93.9,7.8,0.4,L
2021-03-21,31.8,20.6,25.5,2.5,100.0,60.0,87.2,10.1,4.3,0.1,1.4,1.0,174.9,91.6,60.0,2.1,L
2021-03-28,33.5,21.4,25.9,2.7,100.0,48.0,86.4,11.8,3.9,0.1,1.2,0.9,158.6,94.2,12.4,0.5,L
2021-04-04,30.9,17.5,23.2,2.9,100.0,57.0,85.0,13.7,3.2,0.1,1.3,0.9,164.8,88.9,37.4,0.9,SE
2021-04-11,33.3,15.8,23.3,3.5,100.0,35.0,82.9,13.9,4.9,0.2,1.5,1.1,138.8,94.3,26.0,0.8,L
2021-04-18,27.8,17.5,22.5,2.3,100.0,53.0,83.9,12.0,3.8,0.2,1.3,0.9,148.8,85.4,6.6,0.1,L
2021-04-25,28.8,16.0,21.0,2.6,100.0,50.0,89.0,10.8,3.6,0.2,1.2,0.8,187.0,87.3,100.6,2.0,S
2021-05-02,25.9,15.0,20.5,2.7,100.0,56.0,88.3,12.0,3.5,0.2,1.1,0.7,141.5,89.5,34.4,0.6,L
2021-05-09,27.6,15.0,19.6,3.0,100.0,64.0,93.0,9.5,5.4,0.1,1.1,0.9,170.4,97.1,66.2,1.1,L
2021-05-16,26.9,15.0,19.1,2.2,100.0,58.0,92.9,8.8,4.3,0.2,1.2,0.8,179.4,98.4,115.8,1.9,SO
2021-05-23,26.8,12.3,19.5,3.2,100.0,55.0,87.9,11.6,3.4,0.1,1.1,0.8,162.9,104.3,7.2,0.3,L
2021-05-30,30.4,8.2,18.2,5.3,100.0,34.0,86.0,15.6,4.2,0.1,1.0,0.7,151.9,106.6,17.2,0.7,L
2021-06-06,27.3,13.5,20.0,2.9,100.0,59.0,91.8,9.9,3.2,0.1,0.9,0.6,167.4,103.6,1.2,0.1,L
2021-06-13,23.5,9.7,18.8,2.7,100.0,57.0,94.8,9.7,2.8,0.2,0.9,0.7,180.9,97.5,80.2,1.9,L
2021-06-20,21.5,9.4,16.1,2.7,100.0,69.0,93.7,7.7,2.5,0.2,0.8,0.5,172.6,101.2,18.4,0.9,SO
2021-06-27,23.4,22.0,22.7,1.0,72.0,66.0,69.0,4.2,0.9,0.7,0.8,0.1,342.0,2.8,0.0,0.0,N
2021-07-04,17.2,17.2,17.2,,48.0,48.0,48.0,,1.4,1.4,1.4,,172.0,,0.0,,S
2021-07-11,,,,,,,,,,,,,,,0.0,,
2021-07-18,21.9,15.4,19.2,1.8,100.0,59.0,75.9,13.1,2.9,0.6,1.7,0.8,145.7,66.4,0.0,0.0,SE
2021-07-25,21.3,6.2,13.8,4.7,95.0,30.0,65.8,25.0,2.4,0.3,1.2,0.7,222.9,119.3,0.0,0.0,NO
2021-08-01,16.4,4.5,13.2,3.7,100.0,36.0,59.4,21.9,2.1,0.5,1.4,0.6,183.1,73.5,0.0,0.0,S
2021-08-08,,,,,,,,,,,,,,,0.0,,
2021-08-15,32.9,18.7,25.5,7.8,100.0,28.0,68.0,36.6,1.1,1.1,1.1,,292.0,,0.0,0.0,O
2021-08-22,31.4,19.2,24.3,2.9,98.0,36.0,72.0,14.6,2.7,0.5,1.5,0.7,202.4,105.3,0.0,0.0,L
2021-08-29,34.6,20.7,27.7,3.7,98.0,27.0,58.2,19.7,2.3,0.6,1.2,0.6,270.6,89.6,0.0,0.0,N
2021-09-05,26.1,21.4,23.4,1.3,83.0,61.0,73.1,6.5,5.1,1.6,3.1,1.3,131.2,70.8,0.0,0.0,L
2021-09-12,,,,,,,,,,,,,,,0.0,,
2021-09-19,,,,,,,,,,,,,,,0.0,,
2021-09-26,,,,,,,,,,,,,,,0.0,,
2021-10-03,24.4,24.4,24.4,,72.0,72.0,72.0,,,,,,,,0.0,,
2021-10-10,,,,,,,,,,,,,,,0.0,,
2021-10-17,,,,,,,,,,,,,,,0.0,,
2021-10-24,,,,,,,,,,,,,,,0.0,,
2021-10-31,,,,,,,,,,,,,,,0.0,,
2021-11-07,,,,,,,,,,,,,,,0.0,,
2021-11-14,,,,,,,,,,,,,,,0.0,,
2021-11-21,,,,,,,,,,,,,,,0.0,,
2021-11-28,,,,,,,,,,,,,,,0.0,,
2021-12-05,,,,,,,,,,,,,,,0.0,,
2021-12-12,,,,,,,,,,,,,,,0.0,,
2021-12-19,,,,,,,,,,,,,,,0.0,,
2021-12-26,26.8,26.8,26.8,,59.0,59.0,59.0,,,,,,,,0.0,,
